location,floor,floor_count,rooms_count,square_meter_price,price,year_of_construction,ipoteka_rate,area,discount,distance,monthly_payment
"Россия, Московская область, Видное, Жуковский проезд, 3",12,14,3,148258,11490000,none,24.9,77.5,none,8.62,191501
"Россия, Московская область, Наро-Фоминский городской округ, Апрелевка, улица Островского, 38",8,14,1,158742,7699000,none,24.9,48.5,0.3,none,128317
"Россия, Московская область, Одинцовский городской округ, с. Перхушково, Равновесие м-н, 6",4,5,2,129979,6200000,2023,24.9,47.7,0.3,8.96,103334
"Россия, Московская область, Одинцово, Можайское шоссе, 122",19,24,3,273664,29200000,none,24.9,106.7,none,0.82,486670
"Россия, Московская область, Королёв, Болшево м-н, Бурковский проезд, 44 к3",3,4,2,184000,9200000,none,24.9,50.0,0.3,17.59,153334
"Россия, Московская область, Королёв, Первомайский м-н, Советская улица, 47 к7",5,17,1,162000,7290000,2017,24.9,45.0,0.3,17.47,121500
"Россия, Московская область, Ивантеевка, улица Прокудина, 3",6,18,2,155000,9579000,2022,24.9,61.8,0.6,none,none
"Россия, Московская область, Балашиха, Балашиха-3 м-н, проспект Ленина, 38",3,5,2,129385,5900000,none,24.9,45.6,0.3,6.25,98334
"Россия, Московская область, Королёв, улица Академика Легостаева, 8",7,17,1,188053,8500000,none,24.9,45.2,0.3,none,none
"Россия, Московская область, Одинцовский городской округ, рп. Новоивановское, Можайское шоссе, 55",26,33,3,280357,15700000,none,24.9,56.0,none,1.6,261668
"Россия, Московская область, Красногорск городской округ, пос. Архангельское, 27",2,5,3,185217,10650000,none,24.9,57.5,0.3,none,177501
"Россия, Московская область, Балашиха, Чистопольская улица, 32",6,20,1,107692,4900000,none,24.9,45.5,0.3,none,81667
"Россия, Московская область, Мытищи городской округ, д. Пирогово, улица Ильинского, 5",9,9,3,160626,12914407,none,24.9,80.4,none,none,215241
"Россия, Московская область, Щёлково городской округ, рп. Фряново, улица Механизаторов, 9",5,5,1,114329,3750000,none,24.9,32.8,0.3,none,none
"Россия, Московская область, Щёлково городской округ, Оболдино, Лосиный остров-1 м-н, Лесная улица, 2",4,5,3,102608,5900000,none,24.9,57.5,0.3,15.28,none
"Россия, Московская область, Мытищи городской округ, д. Пирогово, улица Ильинского, 5",4,9,3,152188,12251181,none,24.9,80.5,none,none,204187
