location,floor,floor_count,rooms_count,square_meter_price,price,area,distance,monthly_payment
"Мытищи, Тенистый бульвар, 6",2,6,2,184210,9800000,53.2,11.23,163334.0
"Одинцовский городской округ, Звенигород, Восточный м-н, 3-й микрорайон, 18",9,18,3,127397,9300000,73.0,5.536184325362192,155001.0
"Подольск, Залинейный м-н, улица Космонавтов, 2а",7,9,3,168000,10500000,62.5,2.73,175001.0
"Жуковский, улица Дугина, 29",1,5,3,124548,6900000,55.4,5.536184325362192,115000.0
"Люберцы городской округ, рп. Малаховка, МЭЗ м-н, Быковское шоссе, 33",3,5,2,123348,5600000,45.4,2.9,93334.0
"Серпухов, Центральная улица, 160 к3",4,5,2,95238,4000000,42.0,5.536184325362192,66667.0
"Клин, улица 50 лет Октября, 7",7,9,2,107551,4700000,43.7,5.536184325362192,78333.0
"Раменский городской округ, дп. Кратово, улица Мичурина, 6а",2,5,2,145833,6300000,43.2,0.9,105000.0
"Химки, Новогорск м-н, Ивановская улица, 12 к3",2,5,2,206896,12000000,58.0,5.94,200001.0
"Дмитров, ДЗФС м-н, 8а",1,5,3,98646,5100000,51.7,5.536184325362192,85000.0
"Павловский Посад, Ново-Мишутинская улица, 7",5,5,1,100609,3300000,32.8,5.536184325362192,55000.0
"Истра городской округ, д. Высоково, микрорайон Малая Истра, 24",3,4,1,105108,5350000,50.9,5.536184325362192,89167.0
"Сергиево-Посадский городской округ, Хотьково, улица Седина, 34",5,5,3,76502,4200000,54.9,5.536184325362192,70000.0
"Химки, Новые Химки м-н, улица Мельникова, 7 / проспект Мельникова, 7",25,25,3,175974,13550000,77.0,3.93,225834.0
"Домодедово, Востряково м-н, улица Курыжова, 1 к2",7,15,3,173969,13500000,77.6,15.79,225001.0
"Орехово-Зуевский городской округ, д. Давыдово, 2-й микрорайон, 6",9,9,3,73343,4650000,63.4,5.536184325362192,77500.0
"Мытищи городской округ, с. Марфино, Зелёная улица, 1",1,5,2,116279,4999999,43.0,12.21,83333.0
"Мытищи городской округ, пос. Нагорное, Полковника Романова улица, 11",12,21,1,248587,8800000,35.4,2.95,146667.0
"Красногорск городской округ, пос. Ильинское-Усово, Архангельская улица, 7",3,9,3,282442,22200000,78.6,7.88,370002.0
"Истра городской округ, Озёрный, Озёрная улица, 36",1,3,2,373301,63200000,169.3,17.41,1053341.0
"Мытищи, 26-й м-н, улица Станционная, 1 к2",7,9,1,197435,7700000,39.0,7.74,128334.0
"Ленинский городской округ, д. Сапроново, Купелинка м-н, квартал Северный, 11",17,17,1,174285,6100000,35.0,14.18,101667.0
"Солнечногорск городской округ, пос. Сенеж, 3",5,5,2,120370,6500000,54.0,5.536184325362192,108334.0
"Видное, улица Завидная, 12",7,13,2,187212,8799000,47.0,9.07,146651.0
"Балашиха, улица Яганова, 12",11,15,1,167419,5190000,31.0,10.85,86500.0
"Балашиха, Янтарный м-н, Кольцевая улица, 20",6,7,1,190205,8350000,43.9,5.98,139167.0
"Жуковский, Горельники м-н, улица Серова, 9",5,6,4,185897,29000000,156.0,1.97,483336.0
"Красногорск городской округ, д. Путилково, Просторная улица, 1",12,25,1,235154,9900000,42.1,5.536184325362192,165001.0
"Чехов городской округ, пос. Любучаны, Парковая улица, 8",2,5,2,102127,4800000,47.0,5.536184325362192,80000.0
"Щёлково, Центральная улица, 17",4,12,1,178100,6750000,37.9,5.536184325362192,112500.0
"Долгопрудный, Дирижабельная улица, 28",6,9,3,192242,11400000,59.3,0.91,190001.0
"Ленинский городской округ, рп. Лопатино, Солнечный бульвар, 2",9,9,2,179980,8999000,50.0,5.41,149984.0
"Орехово-Зуево, улица Бирюкова, 6",5,5,1,109677,3400000,31.0,5.536184325362192,56667.0
"Люберцы городской округ, д. Мотяково, 66 к12",3,3,2,123260,6200000,50.3,7.48,103334.0
"Котельники, Парковый микрорайон, 1 к2",22,25,2,197508,11100000,56.2,2.82,185001.0
"Раменский городской округ, Шубино-2, 138",3,5,2,80679,3800000,47.1,5.536184325362192,63333.0
"Щёлково, Щёлково-3 м-н, улица Радиоцентра 5, 15",5,14,2,154040,12200000,79.2,5.536184325362192,203334.0
"Мытищи, 17а м-н, улица Разведчика Абеля, 5",5,25,2,209615,10900000,52.0,7.18,181668.0
"Химки, Фирсановка м-н, Московская улица, 2а",1,5,3,134206,8200000,61.1,1.19,136667.0
"Черноголовка, Заречье м-н, улица Береговая, 24",2,7,3,165809,12900000,77.8,5.536184325362192,215001.0
"Ногинск, улица 3-го Интернационала, 226Б",3,3,1,98039,3500000,35.7,5.536184325362192,58333.0
"Балашиха, Саввино м-н, улица Народного ополчения, 1",5,6,1,177464,6300000,35.5,2.6,105000.0
"Лосино-Петровский городской округ, рп. Свердловский, Лукино-Варино, улица Алексея Короткова, 3",3,12,1,123152,5000000,40.6,5.536184325362192,83333.0
"Котельники, 2-й Покровский проезд, 2",17,17,2,178956,9950000,55.6,2.05,165834.0
"Щёлково, Щёлково-3 м-н, улица Радиоцентра 5, 15",5,14,1,174887,7800000,44.6,5.536184325362192,130000.0
"Одинцово, 6-й м-н, Можайское шоссе, 80а",2,25,2,247222,17800000,72.0,1.45,296668.0
"Ивантеевка, Центральный проезд, 12",5,5,2,107466,4750000,44.2,5.536184325362192,79167.0
"Подольск, Межшоссейный м-н, улица Кирова, 9",6,16,1,196601,6999000,35.6,2.15,116650.0
"Дзержинский, Пушкинский м-н, улица Угрешская, 18",7,14,2,170039,8570000,50.4,5.53,142834.0
"Богородский городской округ, с. Бисерово, Новое Бисерово 2 м-н, 6",2,5,2,160204,7850000,49.0,9.58,130834.0
"Раменский городской округ, д. Островцы, улица Лётчика Волчкова, 1",14,17,1,142699,5180000,36.3,7.84,86333.0
"Мытищи, улица Щербакова, 1 к1",10,16,2,229681,13000000,56.6,6.36,216668.0
"Ленинский городской округ, д. Калиновка, 57а",4,4,2,185763,10700000,57.6,15.45,178334.0
"Ивантеевка, улица Толмачёва, 13а",3,5,2,122222,6600000,54.0,5.536184325362192,110000.0
"Красногорск, Изумрудные холмы, бульвар Космонавтов, 4",12,25,2,187713,10999999,58.6,2.94,183334.0
"Дмитров, ДЗФС м-н, 22а",9,9,2,112860,5090000,45.1,5.536184325362192,84833.0
"Одинцовский городской округ, Звенигород, Восточный м-н, 3-й микрорайон, 6",6,14,2,122594,9121000,74.4,5.536184325362192,152017.0
"Балашиха, Железнодорожный м-н, Пионерская улица, 14а",1,5,2,119767,5150000,43.0,1.98,85833.0
"Домодедово, Белые Столбы м-н, улица Мечты, 11 к2",3,3,2,146000,7300000,50.0,5.536184325362192,108334.0
"Балашиха, Авиаторов м-н, Лётная улица, 8/7",18,22,4,123000,12300000,100.0,8.38,205001.0
"Щёлково, улица Пустовская, 18",8,9,2,141055,6150000,43.6,5.536184325362192,102500.0
"Коломна, Центральный м-н, улица Фрунзе, 24",4,4,4,166871,13600000,81.5,5.536184325362192,226668.0
"Ленинский городской округ, рп. Лопатино, Солнечный бульвар, 7",1,9,1,165000,6600000,40.0,5.49,110000.0
"Королёв, Болшево м-н, Бурковский проезд, 54 к1",3,4,1,205428,7190000,35.0,17.75,108334.0
"Кашира, Ожерелье м-н, Пионерская улица, 2",5,5,2,72144,3600000,49.9,5.536184325362192,60000.0
"Красноармейск, Краснофлотская улица, 7",5,5,3,106701,6050000,56.7,5.536184325362192,100834.0
